Question,Event Category,Region,City
How often are you stressed,All the time,Ohio,Cincinnati
How often are you stressed,All the time,Idaho,Hayden
How often are you stressed,All the time,Ohio,Canton
How often are you stressed,All the time,North Carolina,Charlotte
How often are you stressed,All the time,Florida,Tampa
How often are you stressed,All the time,Virginia,Wytheville
How often are you stressed,All the time,Massachusetts,Franklin
How often are you stressed,All the time,(not set),(not set)
How often are you stressed,All the time,North Carolina,Concord
How often are you stressed,All the time,Washington,West Richland
How often are you stressed,All the time,North Carolina,Charlotte
How often are you stressed,All the time,Illinois,Charleston
How often are you stressed,All the time,Colorado,Littleton
How often are you stressed,All the time,New Jersey,North Bergen
How often are you stressed,All the time,Florida,Miami
How often are you stressed,All the time,Missouri,Marshfield
How often are you stressed,All the time,Texas,Killeen
How often are you stressed,All the time,Arkansas,Berryville
How often are you stressed,All the time,Kentucky,Glasgow
How often are you stressed,All the time,Virginia,Grundy
How often are you stressed,All the time,Alaska,Anchorage
How often are you stressed,All the time,Kentucky,Lexington
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Washington,South Hill
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,California,Moreno Valley
How often are you stressed,All the time,Oregon,Medford
How often are you stressed,All the time,Missouri,Kansas City
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Michigan,Saint Johns
How often are you stressed,All the time,Colorado,Johnstown
How often are you stressed,All the time,Wisconsin,Berlin
How often are you stressed,All the time,New Mexico,Albuquerque
How often are you stressed,All the time,Michigan,Ann Arbor
How often are you stressed,All the time,Illinois,River Forest
How often are you stressed,All the time,Alaska,Fairbanks
How often are you stressed,All the time,Rhode Island,Warwick
How often are you stressed,All the time,South Dakota,Colman
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Michigan,Washington
How often are you stressed,All the time,Massachusetts,Boston
How often are you stressed,All the time,New York,Peekskill
How often are you stressed,All the time,Missouri,Cosby
How often are you stressed,All the time,Alabama,(not set)
How often are you stressed,All the time,Ohio,Columbus
How often are you stressed,All the time,Michigan,Niles
How often are you stressed,All the time,West Virginia,Hamlin
How often are you stressed,All the time,Ohio,Newark
How often are you stressed,All the time,Arizona,Morenci
How often are you stressed,All the time,Wisconsin,Poynette
How often are you stressed,All the time,Colorado,Arvada
How often are you stressed,All the time,Tennessee,Lawrenceburg
How often are you stressed,All the time,Indiana,Portland
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,West Virginia,Summersville
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,District of Columbia,Washington
How often are you stressed,All the time,Nebraska,Grand Island
How often are you stressed,All the time,New York,Fredonia
How often are you stressed,All the time,California,Covina
How often are you stressed,All the time,Massachusetts,Boston
How often are you stressed,All the time,Kentucky,Glasgow
How often are you stressed,All the time,Florida,Miami
How often are you stressed,All the time,Texas,Austin
How often are you stressed,All the time,Michigan,Detroit
How often are you stressed,All the time,Tennessee,Dickson
How often are you stressed,All the time,Virginia,Lake Ridge
How often are you stressed,All the time,Massachusetts,Amherst
How often are you stressed,All the time,Wisconsin,Poynette
How often are you stressed,All the time,Utah,Salt Lake City
How often are you stressed,All the time,Washington,Seattle
How often are you stressed,All the time,Ohio,Fort Jennings
How often are you stressed,All the time,Georgia,Newnan
How often are you stressed,All the time,Illinois,Normal
How often are you stressed,All the time,Wisconsin,Madison
How often are you stressed,All the time,Georgia,Pembroke
How often are you stressed,All the time,Michigan,Redford Charter Township
How often are you stressed,All the time,Florida,Miramar
How often are you stressed,All the time,New Hampshire,Claremont
How often are you stressed,All the time,North Carolina,Goldsboro
How often are you stressed,All the time,New York,Troy
How often are you stressed,All the time,District of Columbia,Washington
How often are you stressed,All the time,Arkansas,Springdale
How often are you stressed,All the time,Maine,Bucksport
How often are you stressed,All the time,North Carolina,Fayetteville
How often are you stressed,All the time,Illinois,DeKalb
How often are you stressed,All the time,Louisiana,Madisonville
How often are you stressed,All the time,District of Columbia,Washington
How often are you stressed,All the time,Kentucky,Louisville
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Indiana,Indianapolis
How often are you stressed,All the time,Texas,Garland
How often are you stressed,All the time,Colorado,Ken Caryl
How often are you stressed,All the time,Pennsylvania,Bensalem
How often are you stressed,All the time,Oklahoma,(not set)
How often are you stressed,All the time,Arizona,Scottsdale
How often are you stressed,All the time,Arizona,Glendale
How often are you stressed,All the time,New Mexico,Alamogordo
How often are you stressed,All the time,Connecticut,Brooklyn
How often are you stressed,All the time,Virginia,Staunton
How often are you stressed,All the time,Missouri,Joplin
How often are you stressed,All the time,Kansas,Topeka
How often are you stressed,All the time,Colorado,Loveland
How often are you stressed,All the time,Texas,El Paso
How often are you stressed,All the time,Kansas,Salina
How often are you stressed,All the time,South Dakota,Brookings
How often are you stressed,All the time,Missouri,Concord
How often are you stressed,All the time,Pennsylvania,Lansford
How often are you stressed,All the time,Washington,Seattle
How often are you stressed,All the time,Minnesota,Minneapolis
How often are you stressed,All the time,Colorado,Arvada
How often are you stressed,All the time,Texas,El Paso
How often are you stressed,All the time,Nebraska,Ravenna
How often are you stressed,All the time,California,San Jose
How often are you stressed,All the time,Arizona,Sedona
How often are you stressed,All the time,Colorado,Englewood
How often are you stressed,All the time,Texas,Pasadena
How often are you stressed,All the time,West Virginia,Shinnston
How often are you stressed,All the time,Pennsylvania,Valley Green
How often are you stressed,All the time,Minnesota,Minneapolis
How often are you stressed,All the time,South Dakota,Philip
How often are you stressed,All the time,Pennsylvania,Wilkes-Barre
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,New York,Huntington Station
How often are you stressed,All the time,Tennessee,Memphis
How often are you stressed,All the time,Texas,Houston
How often are you stressed,All the time,Pennsylvania,Parkville
How often are you stressed,All the time,Kentucky,(not set)
How often are you stressed,All the time,Missouri,New Haven
How often are you stressed,All the time,South Dakota,Sioux Falls
How often are you stressed,All the time,Ohio,Wickliffe
How often are you stressed,All the time,Colorado,Boulder
How often are you stressed,All the time,North Carolina,Lincolnton
How often are you stressed,All the time,Minnesota,Minneapolis
How often are you stressed,All the time,Florida,Palatka
How often are you stressed,All the time,Georgia,Warner Robins
How often are you stressed,All the time,Ohio,Bethel
How often are you stressed,All the time,North Dakota,Williston
How often are you stressed,All the time,Idaho,Meridian
How often are you stressed,All the time,New York,Herkimer
How often are you stressed,All the time,Tennessee,Nashville
How often are you stressed,All the time,Missouri,Rolla
How often are you stressed,All the time,Maryland,Gaithersburg
How often are you stressed,All the time,South Dakota,Spearfish
How often are you stressed,All the time,Michigan,Greenville
How often are you stressed,All the time,Virginia,Bailey's Crossroads
How often are you stressed,All the time,Illinois,Oswego
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Illinois,Posen
How often are you stressed,All the time,Alabama,Albertville
How often are you stressed,All the time,California,San Francisco
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Washington,Port Angeles
How often are you stressed,All the time,Georgia,Lawrenceville
How often are you stressed,All the time,New York,Albany
How often are you stressed,All the time,Oklahoma,Oklahoma City
How often are you stressed,All the time,Pennsylvania,Folsom
How often are you stressed,All the time,Nebraska,Omaha
How often are you stressed,All the time,Georgia,Warner Robins
How often are you stressed,All the time,Alabama,Albertville
How often are you stressed,All the time,Colorado,Littleton
How often are you stressed,All the time,Washington,Seattle
How often are you stressed,All the time,Indiana,Hanover
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Idaho,Boise
How often are you stressed,All the time,Utah,Salt Lake City
How often are you stressed,All the time,Nevada,(not set)
How often are you stressed,All the time,Texas,Garland
How often are you stressed,All the time,Arizona,Oro Valley
How often are you stressed,All the time,Texas,Copperas Cove
How often are you stressed,All the time,Pennsylvania,Scottdale
How often are you stressed,All the time,Florida,Tampa
How often are you stressed,All the time,Ohio,Chillicothe
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Wisconsin,De Pere
How often are you stressed,All the time,Utah,Salt Lake City
How often are you stressed,All the time,Colorado,Lafayette
How often are you stressed,All the time,Maine,Bethel
How often are you stressed,All the time,North Carolina,Morehead City
How often are you stressed,All the time,New York,Castleton-on-Hudson
How often are you stressed,All the time,Kentucky,Russellville
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Massachusetts,Oxford
How often are you stressed,All the time,Alabama,Foley
How often are you stressed,All the time,Oklahoma,McAlester
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,Tennessee,Nashville
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Oregon,Portland
How often are you stressed,All the time,Oklahoma,(not set)
How often are you stressed,All the time,Texas,Borger
How often are you stressed,All the time,Illinois,Macomb
How often are you stressed,All the time,Minnesota,Grand Rapids
How often are you stressed,All the time,Ohio,Greenville
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Ohio,Steubenville
How often are you stressed,All the time,District of Columbia,Washington
How often are you stressed,All the time,Maine,Presque Isle
How often are you stressed,All the time,Colorado,Arvada
How often are you stressed,All the time,Florida,(not set)
How often are you stressed,All the time,Nebraska,Grand Island
How often are you stressed,All the time,Georgia,Valdosta
How often are you stressed,All the time,Idaho,Rexburg
How often are you stressed,All the time,Kentucky,Lebanon
How often are you stressed,All the time,Oregon,Manzanita
How often are you stressed,All the time,Colorado,Longmont
How often are you stressed,All the time,Oklahoma,Midwest City
How often are you stressed,All the time,Indiana,Terre Haute
How often are you stressed,All the time,Pennsylvania,Meadville
How often are you stressed,All the time,Indiana,Indianapolis
How often are you stressed,All the time,Kansas,Pittsburg
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Louisiana,Bogalusa
How often are you stressed,All the time,Connecticut,Bridgeport
How often are you stressed,All the time,Colorado,Steamboat Springs
How often are you stressed,All the time,Wisconsin,Madison
How often are you stressed,All the time,Missouri,Fordland
How often are you stressed,All the time,Colorado,Lakewood
How often are you stressed,All the time,Pennsylvania,Philadelphia
How often are you stressed,All the time,Colorado,Steamboat Springs
How often are you stressed,All the time,North Carolina,Charlotte
How often are you stressed,All the time,Texas,Atascocita
How often are you stressed,All the time,California,Los Angeles
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Michigan,South Lyon
How often are you stressed,All the time,Texas,Midland
How often are you stressed,All the time,Louisiana,New Orleans
How often are you stressed,All the time,Washington,Seattle
How often are you stressed,All the time,Utah,Price
How often are you stressed,All the time,Utah,Salt Lake City
How often are you stressed,All the time,Minnesota,Minneapolis
How often are you stressed,All the time,Tennessee,Hendersonville
How often are you stressed,All the time,Utah,Holladay
How often are you stressed,All the time,Massachusetts,Eastham
How often are you stressed,All the time,California,Los Angeles
How often are you stressed,All the time,Washington,Seattle
How often are you stressed,All the time,Tennessee,Newport
How often are you stressed,All the time,South Carolina,Florence
How often are you stressed,All the time,Utah,Salt Lake City
How often are you stressed,All the time,Illinois,McLeansboro
How often are you stressed,All the time,District of Columbia,Washington
How often are you stressed,All the time,North Carolina,Southern Pines
How often are you stressed,All the time,Maryland,Frostburg
How often are you stressed,All the time,Massachusetts,Mashpee
How often are you stressed,All the time,Oklahoma,Oklahoma City
How often are you stressed,All the time,Arkansas,Greenbrier
How often are you stressed,All the time,Wisconsin,Independence
How often are you stressed,All the time,Colorado,Aurora
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Michigan,West Bloomfield Township
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Florida,Ocala
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,California,San Francisco
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Illinois,O'Fallon
How often are you stressed,All the time,West Virginia,Vienna
How often are you stressed,All the time,Arizona,Casa Grande
How often are you stressed,All the time,Georgia,Evans
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Louisiana,Westlake
How often are you stressed,All the time,Texas,Portland
How often are you stressed,All the time,New York,Binghamton
How often are you stressed,All the time,Wisconsin,Madison
How often are you stressed,All the time,Colorado,Arvada
How often are you stressed,All the time,Louisiana,Shenandoah
How often are you stressed,All the time,Virginia,(not set)
How often are you stressed,All the time,Indiana,Newburgh
How often are you stressed,All the time,Kentucky,Winchester
How often are you stressed,All the time,Ohio,South Point
How often are you stressed,All the time,Washington,Port Angeles
How often are you stressed,All the time,Florida,(not set)
How often are you stressed,All the time,Georgia,Tifton
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Pennsylvania,Murrysville
How often are you stressed,All the time,Ohio,(not set)
How often are you stressed,All the time,Alabama,Decatur
How often are you stressed,All the time,Utah,Sandy
How often are you stressed,All the time,Georgia,Oxford
How often are you stressed,All the time,Kentucky,West Liberty
How often are you stressed,All the time,Utah,West Valley City
How often are you stressed,All the time,Utah,West Jordan
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,New Jersey,Sparta Township
How often are you stressed,All the time,Nebraska,Omaha
How often are you stressed,All the time,Florida,Sunrise
How often are you stressed,All the time,California,Los Angeles
How often are you stressed,All the time,Wisconsin,Algoma
How often are you stressed,All the time,Oregon,Portland
How often are you stressed,All the time,Virginia,Grundy
How often are you stressed,All the time,Kentucky,Pikeville
How often are you stressed,All the time,Colorado,Bayfield
How often are you stressed,All the time,California,Indio
How often are you stressed,All the time,Colorado,Colorado Springs
How often are you stressed,All the time,Wyoming,Torrington
How often are you stressed,All the time,Kansas,Ottawa
How often are you stressed,All the time,Texas,Houston
How often are you stressed,All the time,Indiana,Bedford
How often are you stressed,All the time,Oregon,Clatskanie
How often are you stressed,All the time,Ohio,Minford
How often are you stressed,All the time,Rhode Island,Middletown
How often are you stressed,All the time,Georgia,Dallas
How often are you stressed,All the time,Pennsylvania,Philadelphia
How often are you stressed,All the time,Kansas,Chanute
How often are you stressed,All the time,Missouri,St. Louis
How often are you stressed,All the time,Missouri,Kansas City
How often are you stressed,All the time,Georgia,Cumming
How often are you stressed,All the time,Connecticut,Branford
How often are you stressed,All the time,Vermont,(not set)
How often are you stressed,All the time,Pennsylvania,(not set)
How often are you stressed,All the time,Florida,(not set)
How often are you stressed,All the time,Colorado,Yuma
How often are you stressed,All the time,Colorado,Denver
How often are you stressed,All the time,(not set),(not set)
How often are you stressed,All the time,Kansas,El Dorado
How often are you stressed,All the time,Ohio,Columbus
How often are you stressed,All the time,Virginia,Winchester
How often are you stressed,All the time,Colorado,Denver
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Colorado,Ken Caryl
How often are you stressed,All the time,North Carolina,Candler
How often are you stressed,All the time,Oklahoma,Bartlesville
How often are you stressed,All the time,Michigan,Sturgis
How often are you stressed,All the time,Washington,Everett
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Kentucky,Fort Knox
How often are you stressed,All the time,Tennessee,Johnson City
How often are you stressed,All the time,Oregon,Medford
How often are you stressed,All the time,Florida,Orlando
How often are you stressed,All the time,New York,Troy
How often are you stressed,All the time,Wisconsin,Port Washington
How often are you stressed,All the time,South Carolina,Summerville
How often are you stressed,All the time,North Carolina,Hope Mills
How often are you stressed,All the time,Ohio,Baltimore
How often are you stressed,All the time,Virginia,Arlington
How often are you stressed,All the time,Ohio,Zanesville
How often are you stressed,All the time,North Carolina,Charlotte
How often are you stressed,All the time,South Carolina,Hilton Head Island
How often are you stressed,All the time,Oklahoma,Tulsa
How often are you stressed,All the time,Iowa,Ames
How often are you stressed,All the time,Oregon,Florence
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Oklahoma,Oklahoma City
How often are you stressed,All the time,California,Upland
How often are you stressed,All the time,Georgia,Carrollton
How often are you stressed,All the time,Minnesota,Minneapolis
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,California,Los Angeles
How often are you stressed,All the time,Colorado,Winter Park
How often are you stressed,All the time,Utah,East Millcreek
How often are you stressed,All the time,Illinois,Elgin
How often are you stressed,All the time,Nebraska,Omaha
How often are you stressed,All the time,Oklahoma,McAlester
How often are you stressed,All the time,New Jersey,Brick
How often are you stressed,All the time,Indiana,Indianapolis
How often are you stressed,All the time,Louisiana,Calhoun
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,(not set),(not set)
How often are you stressed,All the time,Maryland,Ellicott City
How often are you stressed,All the time,Iowa,Cedar Rapids
How often are you stressed,All the time,Colorado,Centennial
How often are you stressed,All the time,Kansas,Haysville
How often are you stressed,All the time,California,Big Bear Lake
How often are you stressed,All the time,Massachusetts,Boston
How often are you stressed,All the time,Nebraska,Omaha
How often are you stressed,All the time,Texas,Mesquite
How often are you stressed,All the time,Oklahoma,Oklahoma City
How often are you stressed,All the time,Pennsylvania,Broomall
How often are you stressed,All the time,Illinois,Palmyra
How often are you stressed,All the time,Alabama,Alabaster
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,Texas,San Antonio
How often are you stressed,All the time,Indiana,Marion
How often are you stressed,All the time,Maryland,Owings Mills
How often are you stressed,All the time,Tennessee,Tullahoma
How often are you stressed,All the time,Washington,Spokane
How often are you stressed,All the time,Illinois,Arlington Heights
How often are you stressed,All the time,Florida,Orlando
How often are you stressed,All the time,Wisconsin,Oconto
How often are you stressed,All the time,Alabama,Pell City
How often are you stressed,All the time,New Jersey,Clifton
How often are you stressed,All the time,Michigan,Detroit
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Illinois,Colchester
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Massachusetts,Charlton
How often are you stressed,All the time,Nebraska,Omaha
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Pennsylvania,Hamburg
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,Montana,Glendive
How often are you stressed,All the time,Kentucky,Campbellsville
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,Florida,Niceville
How often are you stressed,All the time,California,Fremont
How often are you stressed,All the time,New Hampshire,Concord
How often are you stressed,All the time,Colorado,Denver
How often are you stressed,All the time,Arkansas,Little Rock
How often are you stressed,All the time,West Virginia,Charles Town
How often are you stressed,All the time,Colorado,Glenwood Springs
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Tennessee,Memphis
How often are you stressed,All the time,Illinois,Murphysboro
How often are you stressed,All the time,Montana,Kalispell
How often are you stressed,All the time,Colorado,Denver
How often are you stressed,All the time,Minnesota,Minneapolis
How often are you stressed,All the time,Minnesota,Sauk Centre
How often are you stressed,All the time,Indiana,Crawfordsville
How often are you stressed,All the time,Colorado,Arvada
How often are you stressed,All the time,New York,Millbrook
How often are you stressed,All the time,North Carolina,Greensboro
How often are you stressed,All the time,Maryland,Eldersburg
How often are you stressed,All the time,North Carolina,Charlotte
How often are you stressed,All the time,Michigan,Detroit
How often are you stressed,All the time,Texas,Mansfield
How often are you stressed,All the time,California,Los Angeles
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Ohio,Lebanon
How often are you stressed,All the time,Kansas,Spring Hill
How often are you stressed,All the time,Maine,(not set)
How often are you stressed,All the time,Texas,Rowlett
How often are you stressed,All the time,Wyoming,Freedom
How often are you stressed,All the time,Florida,Palm Coast
How often are you stressed,All the time,Colorado,Greeley
How often are you stressed,All the time,Tennessee,Memphis
How often are you stressed,All the time,Texas,Lubbock
How often are you stressed,All the time,Connecticut,Guilford
How often are you stressed,All the time,Colorado,Greeley
How often are you stressed,All the time,Illinois,Zion
How often are you stressed,All the time,Alabama,Birmingham
How often are you stressed,All the time,Tennessee,Winchester
How often are you stressed,All the time,Colorado,Denver
How often are you stressed,All the time,Florida,Orlando
How often are you stressed,All the time,Florida,Miramar
How often are you stressed,All the time,Arizona,Payson
How often are you stressed,All the time,(not set),(not set)
How often are you stressed,All the time,Tennessee,Mount Juliet
How often are you stressed,All the time,Indiana,Fishers
How often are you stressed,All the time,Wyoming,Laramie
How often are you stressed,All the time,Oregon,Portland
How often are you stressed,All the time,Colorado,Trinidad
How often are you stressed,All the time,Oklahoma,Oklahoma City
How often are you stressed,All the time,Colorado,Colorado Springs
How often are you stressed,All the time,Colorado,Thornton
How often are you stressed,All the time,North Carolina,Lincolnton
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Florida,Orlando
How often are you stressed,All the time,Florida,Tampa
How often are you stressed,All the time,District of Columbia,Washington
How often are you stressed,All the time,Florida,Orlando
How often are you stressed,All the time,Tennessee,Nashville
How often are you stressed,All the time,Louisiana,Shreveport
How often are you stressed,All the time,Arizona,Phoenix
How often are you stressed,All the time,Connecticut,Branford
How often are you stressed,All the time,Georgia,Athens
How often are you stressed,All the time,Ohio,Englewood
How often are you stressed,All the time,Vermont,(not set)
How often are you stressed,All the time,New York,Amsterdam
How often are you stressed,All the time,Maine,Saco
How often are you stressed,All the time,Minnesota,Duluth
How often are you stressed,All the time,Minnesota,St. Cloud
How often are you stressed,All the time,North Carolina,Hope Mills
How often are you stressed,All the time,Texas,Houston
How often are you stressed,All the time,Wisconsin,Viroqua
How often are you stressed,All the time,Ohio,Columbus
How often are you stressed,All the time,Florida,Orlando
How often are you stressed,All the time,Kansas,Topeka
How often are you stressed,All the time,Illinois,Peoria
How often are you stressed,All the time,Pennsylvania,Lancaster
How often are you stressed,All the time,Texas,Houston
How often are you stressed,All the time,Missouri,Maryville
How often are you stressed,All the time,Colorado,Pagosa Springs
How often are you stressed,All the time,Missouri,Sweet Springs
How often are you stressed,All the time,Ohio,Cincinnati
How often are you stressed,All the time,California,Riverside
How often are you stressed,All the time,Colorado,Delta
How often are you stressed,All the time,Mississippi,Columbus
How often are you stressed,All the time,Florida,Lakeland
How often are you stressed,All the time,Indiana,Munster
How often are you stressed,All the time,Indiana,Muncie
How often are you stressed,All the time,Illinois,Genoa
How often are you stressed,All the time,Pennsylvania,Reading
How often are you stressed,All the time,Ohio,Lima
How often are you stressed,All the time,Wisconsin,Rice Lake
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,Oklahoma,Muskogee
How often are you stressed,All the time,North Carolina,Charlotte
How often are you stressed,All the time,Illinois,Galena
How often are you stressed,All the time,Virginia,Elkton
How often are you stressed,All the time,Pennsylvania,Selinsgrove
How often are you stressed,All the time,New Mexico,Albuquerque
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Ohio,Riverside
How often are you stressed,All the time,Michigan,Marlette
How often are you stressed,All the time,Oregon,Silverton
How often are you stressed,All the time,New York,Weedsport
How often are you stressed,All the time,New Hampshire,Conway
How often are you stressed,All the time,Georgia,Macon
How often are you stressed,All the time,Massachusetts,Lynn
How often are you stressed,All the time,Illinois,Chicago
How often are you stressed,All the time,North Dakota,Grand Forks
How often are you stressed,All the time,Michigan,Ann Arbor
How often are you stressed,All the time,North Carolina,Raleigh
How often are you stressed,All the time,Kansas,Spring Hill
How often are you stressed,All the time,North Carolina,(not set)
How often are you stressed,All the time,Georgia,Luthersville
How often are you stressed,All the time,Oregon,Corvallis
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Texas,Snyder
How often are you stressed,All the time,Pennsylvania,(not set)
How often are you stressed,All the time,Louisiana,Shreveport
How often are you stressed,All the time,Georgia,Atlanta
How often are you stressed,All the time,North Carolina,Charlotte
How often are you stressed,All the time,Pennsylvania,Philadelphia
How often are you stressed,All the time,Michigan,Three Rivers
How often are you stressed,All the time,Ohio,Chillicothe
How often are you stressed,All the time,Kentucky,Beauty
How often are you stressed,All the time,New Hampshire,Alton
How often are you stressed,All the time,Florida,Boynton Beach
How often are you stressed,All the time,Idaho,Meridian
How often are you stressed,All the time,Colorado,Arvada
How often are you stressed,All the time,California,Los Angeles
How often are you stressed,All the time,Alabama,Birmingham
How often are you stressed,All the time,Missouri,Pilot Grove
How often are you stressed,All the time,Washington,Seattle
